"Golf Date","Arrival Time","Arrival Source","Depart Time","Depart Source",Club,Sighted?,"Golf Source",Comment
2017-05-05,"2017-05-05 00:00:00",http://publicpool.kinja.com/subject-travel-pool-1-potus-at-bedminster-1794954390,"2017-05-05 23:59:00",http://publicpool.kinja.com/subject-travel-pool-1-potus-at-bedminster-1794954390,"Trump Natl, Bedminster, NJ","Probably Not",_,"<a href=""http://www.nj.com/politics/index.ssf/2017/05/trumps_not-so-busy_day_in_bedminster.html"">""Working out of my home""</a>"
2017-05-06,"2017-05-06 00:00:00",http://publicpool.kinja.com/subject-daily-guidance-and-press-schedule-for-saturday-1794976389,"2017-05-06 23:59:00",http://publicpool.kinja.com/subject-travel-pool-report-1-1794982970,"Trump Natl, Bedminster, NJ",Yes,https://twitter.com/mikememoli/status/860986891377815553,"<a href=""https://www.washingtonpost.com/news/post-politics/wp/2017/05/06/spend-your-free-time-in-a-red-state-a-motorcade-of-protesters-rolls-by-trumps-n-j-property/"">Motorcade of protesters</a>"
2017-05-07,"2017-05-07 00:00:00",http://publicpool.kinja.com/subject-updated-daily-guidance-and-press-schedule-for-1794990499,"2017-05-07 19:19:00",http://publicpool.kinja.com/subject-travel-pool-1-pool-rolling-1795001924,"Trump Natl, Bedminster, NJ",Likely,_,"<a href=""http://www.mycentraljersey.com/story/news/politics/2017/05/07/president-trump-ends-weekend-bedminster/312041001/"">""Meetings!""</a>"
2017-05-14,"2017-05-14 10:32:00",http://publicpool.kinja.com/subject-pool-report-2-1795202720,"2017-05-14 14:35:00",http://publicpool.kinja.com/subject-pool-report-4-1795206641,"Trump Natl, Potomac Falls, VA",Likely,_,"<a href=""http://nypost.com/2017/05/14/trump-hits-a-few-balls-on-mothers-day/"">Ditching Melania on Mother's Day</a>"
2017-06-03,"2017-06-03 10:42:00",http://publicpool.kinja.com/subject-in-town-pool-report-2-1795784391,"2017-06-03 14:22:00",http://publicpool.kinja.com/subject-in-town-pool-report-3-1795786847,"Trump Natl, Potomac Falls, VA",Likely,_,"<a href=""http://www.businessinsider.com/trump-skipped-the-pittsburgh-not-paris-rally-to-go-to-his-golf-club-2017-6"">Skipping his own rally</a>"
2017-06-04,"2017-06-04 09:30:00",http://publicpool.kinja.com/subject-in-town-pool-report-2-1795796133,"2017-06-04 13:51:00",http://publicpool.kinja.com/subject-in-town-pool-report-3-1795798554,"Trump Natl, Potomac Falls, VA",Yes,https://thegolfnewsnet.com/golfnewsnetteam/2017/06/04/donald-trump-played-golf-peyton-manning-sen-bob-corker-105307/,"<a href=""https://twitter.com/Al_Drago/status/871439557492957184"">With Corker and Manning</a>"
2017-06-10,"2017-06-10 00:00:00",http://publicpool.kinja.com/subject-daily-guidance-and-press-schedule-for-saturday-1795978292,"2017-06-10 23:59:00",http://publicpool.kinja.com/subject-out-of-town-2-travel-photo-lid-1795988270,"Trump Natl, Bedminster, NJ",Yes,https://www.washingtonpost.com/news/football-insider/wp/2017/06/14/kirk-cousins-plays-a-round-of-golf-with-president-trump/,"<a href=""http://www.espn.com/blog/nflnation/post/_/id/239284/kirk-cousins-new-life-golfing-with-the-president-and-reduced-work"">With Kirk Cousins</a>"
2017-06-11,"2017-06-11 00:00:00",http://publicpool.kinja.com/subject-daily-guidance-and-press-schedule-for-sunday-1795992877,"2017-06-11 19:09:00",http://publicpool.kinja.com/subject-travel-pool-report-4-newark-1796003786,"Trump Natl, Bedminster, NJ",Likely,_,"<a href=""https://twitter.com/hunterw/status/874048716327591936"">Presidential golf cart spotted</a>"
2017-06-24,"2017-06-24 10:55:00",http://publicpool.kinja.com/subject-pool-report-2-arrival-at-trump-national-va-1796390670,"2017-06-24 14:03:00",http://publicpool.kinja.com/subject-pool-report-3-leaving-trump-national-1796392274,"Trump Natl, Potomac Falls, VA",Yes,https://twitter.com/Fahrenthold/status/878687241056419844,"<a href=""http://www.inquisitr.com/4320311/melanias-dad-is-back-not-golfing-with-donald-trump-at-golf-club-in-sterling-virginia-near-washington-d-c/"">""Not golfing"" with father-in-law</a>"
2017-06-25,"2017-06-25 09:51:00",http://publicpool.kinja.com/subject-pool-report-2-golf-1796400277,"2017-06-25 13:40:00",http://publicpool.kinja.com/subject-pool-report-3-departing-golf-club-1796402538,"Trump Natl, Potomac Falls, VA",Yes,http://thehill.com/blogs/blog-briefing-room/news/339397-trump-plays-18-holes-of-golf-at-virginia-club-report,"<a href=""http://www.dailymail.co.uk/news/article-4638048/Donald-Trump-spends-31st-day-golf-course-president.html"">Playing through</a>"
2017-07-01,"2017-07-01 00:00:00",http://publicpool.kinja.com/subject-daily-guidance-and-press-schedule-for-saturday-1796567287,"2017-07-01 18:30:00",http://publicpool.kinja.com/subject-travel-pool-1-departing-bedminster-1796579588,"Trump Natl, Bedminster, NJ",Likely,_,"<a href=""http://www.inquisitr.com/4339093/trump-photographed-in-bathroom-with-instagram-user-at-trump-national-golf-club-in-bedminster-new-jersey/"">Rainy day in the bathroom?</a>"
2017-07-02,"2017-07-02 00:00:00",http://publicpool.kinja.com/subject-updated-daily-guidance-and-press-schedule-for-1796582194,"2017-07-02 23:59:00",http://publicpool.kinja.com/subject-travel-pool-report-1-travel-photo-lid-1796592750,"Trump Natl, Bedminster, NJ",Likely,_,
